"","datetime","discharge"
"1",2018-02-10 01:00:00,11579
"2",2018-02-10 02:00:00,11509
"3",2018-02-10 03:00:00,11440
"4",2018-02-10 04:00:00,11372
"5",2018-02-10 05:00:00,11305
"6",2018-02-10 06:00:00,11239
"7",2018-02-10 07:00:00,11175
"8",2018-02-10 08:00:00,11112
"9",2018-02-10 09:00:00,11050
"10",2018-02-10 10:00:00,10988
"11",2018-02-10 11:00:00,10929
"12",2018-02-10 12:00:00,10874
"13",2018-02-10 13:00:00,10947
"14",2018-02-10 14:00:00,11333
"15",2018-02-10 15:00:00,11807
"16",2018-02-10 16:00:00,12020
"17",2018-02-10 17:00:00,12145
"18",2018-02-10 18:00:00,12214
"19",2018-02-10 19:00:00,12213
"20",2018-02-10 20:00:00,12170
"21",2018-02-10 21:00:00,12034
"22",2018-02-10 22:00:00,11918
"23",2018-02-10 23:00:00,11838
"24",2018-02-11 00:00:00,11860
"25",2018-02-11 01:00:00,11883
"26",2018-02-11 02:00:00,11902
"27",2018-02-11 03:00:00,11924
"28",2018-02-11 04:00:00,11947
"29",2018-02-11 05:00:00,12074
"30",2018-02-11 06:00:00,12356
"31",2018-02-11 07:00:00,13020
"32",2018-02-11 08:00:00,13645
"33",2018-02-11 09:00:00,13875
"34",2018-02-11 10:00:00,13967
"35",2018-02-11 11:00:00,13985
"36",2018-02-11 12:00:00,14311
"37",2018-02-11 13:00:00,14758
"38",2018-02-11 14:00:00,14868
"39",2018-02-11 15:00:00,14813
"40",2018-02-11 16:00:00,14729
"41",2018-02-11 17:00:00,14676
"42",2018-02-11 18:00:00,14651
"43",2018-02-11 19:00:00,14653
"44",2018-02-11 20:00:00,14679
"45",2018-02-11 21:00:00,14724
"46",2018-02-11 22:00:00,14781
"47",2018-02-11 23:00:00,14851
"48",2018-02-12 00:00:00,14939
"49",2018-02-12 01:00:00,15039
"50",2018-02-12 02:00:00,15151
"51",2018-02-12 03:00:00,15273
"52",2018-02-12 04:00:00,15405
"53",2018-02-12 05:00:00,15543
"54",2018-02-12 06:00:00,15687
"55",2018-02-12 07:00:00,15836
"56",2018-02-12 08:00:00,15990
"57",2018-02-12 09:00:00,16154
"58",2018-02-12 10:00:00,16315
"59",2018-02-12 11:00:00,16475
"60",2018-02-12 12:00:00,16647
"61",2018-02-12 13:00:00,16822
"62",2018-02-12 14:00:00,16989
"63",2018-02-12 15:00:00,17149
"64",2018-02-12 16:00:00,17308
"65",2018-02-12 17:00:00,17468
"66",2018-02-12 18:00:00,17628
"67",2018-02-12 19:00:00,17789
"68",2018-02-12 20:00:00,17949
"69",2018-02-12 21:00:00,18109
"70",2018-02-12 22:00:00,18269
"71",2018-02-12 23:00:00,18434
"72",2018-02-13 00:00:00,18610
"73",2018-02-13 01:00:00,18796
"74",2018-02-13 02:00:00,18981
"75",2018-02-13 03:00:00,19162
"76",2018-02-13 04:00:00,19339
"77",2018-02-13 05:00:00,19515
"78",2018-02-13 06:00:00,19692
"79",2018-02-13 07:00:00,19869
"80",2018-02-13 08:00:00,20047
"81",2018-02-13 09:00:00,20224
"82",2018-02-13 10:00:00,20399
"83",2018-02-13 11:00:00,20573
"84",2018-02-13 12:00:00,20744
"85",2018-02-13 13:00:00,20912
"86",2018-02-13 14:00:00,21078
"87",2018-02-13 15:00:00,21241
"88",2018-02-13 16:00:00,21400
"89",2018-02-13 17:00:00,21555
"90",2018-02-13 18:00:00,21708
"91",2018-02-13 19:00:00,21864
"92",2018-02-13 20:00:00,22012
"93",2018-02-13 21:00:00,22147
"94",2018-02-13 22:00:00,22277
"95",2018-02-13 23:00:00,22401
"96",2018-02-14 00:00:00,22521
"97",2018-02-14 01:00:00,22631
"98",2018-02-14 02:00:00,22733
"99",2018-02-14 03:00:00,22832
"100",2018-02-14 04:00:00,22929
"101",2018-02-14 05:00:00,23021
"102",2018-02-14 06:00:00,23109
"103",2018-02-14 07:00:00,23191
"104",2018-02-14 08:00:00,23268
"105",2018-02-14 09:00:00,23338
"106",2018-02-14 10:00:00,23402
"107",2018-02-14 11:00:00,23459
"108",2018-02-14 12:00:00,23508
"109",2018-02-14 13:00:00,23550
"110",2018-02-14 14:00:00,23585
"111",2018-02-14 15:00:00,23613
"112",2018-02-14 16:00:00,23634
"113",2018-02-14 17:00:00,23647
"114",2018-02-14 18:00:00,23654
"115",2018-02-14 19:00:00,23653
"116",2018-02-14 20:00:00,23644
"117",2018-02-14 21:00:00,23628
"118",2018-02-14 22:00:00,23604
"119",2018-02-14 23:00:00,23572
"120",2018-02-15 00:00:00,23542
"121",2018-02-15 01:00:00,23503
"122",2018-02-15 02:00:00,23436
"123",2018-02-15 03:00:00,23329
"124",2018-02-15 04:00:00,23195
"125",2018-02-15 05:00:00,23064
"126",2018-02-15 06:00:00,22942
"127",2018-02-15 07:00:00,22825
"128",2018-02-15 08:00:00,22710
"129",2018-02-15 09:00:00,22596
"130",2018-02-15 10:00:00,22481
"131",2018-02-15 11:00:00,22365
"132",2018-02-15 12:00:00,22247
"133",2018-02-15 13:00:00,22127
"134",2018-02-15 14:00:00,22006
"135",2018-02-15 15:00:00,21883
"136",2018-02-15 16:00:00,21763
"137",2018-02-15 17:00:00,21645
"138",2018-02-15 18:00:00,21521
"139",2018-02-15 19:00:00,21394
"140",2018-02-15 20:00:00,21266
"141",2018-02-15 21:00:00,21136
"142",2018-02-15 22:00:00,21005
"143",2018-02-15 23:00:00,20872
"144",2018-02-16 00:00:00,20739
"145",2018-02-16 01:00:00,20607
"146",2018-02-16 02:00:00,20476
"147",2018-02-16 03:00:00,20348
"148",2018-02-16 04:00:00,20229
"149",2018-02-16 05:00:00,20170
"150",2018-02-16 06:00:00,20116
"151",2018-02-16 07:00:00,20042
"152",2018-02-16 08:00:00,19972
"153",2018-02-16 09:00:00,19864
"154",2018-02-16 10:00:00,19749
"155",2018-02-16 11:00:00,19645
"156",2018-02-16 12:00:00,19552
"157",2018-02-16 13:00:00,19468
"158",2018-02-16 14:00:00,19391
"159",2018-02-16 15:00:00,19343
"160",2018-02-16 16:00:00,19327
"161",2018-02-16 17:00:00,19300
"162",2018-02-16 18:00:00,19251
"163",2018-02-16 19:00:00,19203
"164",2018-02-16 20:00:00,19165
"165",2018-02-16 21:00:00,19135
"166",2018-02-16 22:00:00,19114
"167",2018-02-16 23:00:00,19101
"168",2018-02-17 00:00:00,19098
"169",2018-02-17 01:00:00,19102
"170",2018-02-17 02:00:00,19116
"171",2018-02-17 03:00:00,19138
"172",2018-02-17 04:00:00,19169
"173",2018-02-17 05:00:00,19209
"174",2018-02-17 06:00:00,19259
"175",2018-02-17 07:00:00,19318
"176",2018-02-17 08:00:00,19385
"177",2018-02-17 09:00:00,19461
"178",2018-02-17 10:00:00,19544
"179",2018-02-17 11:00:00,19635
"180",2018-02-17 12:00:00,19734
"181",2018-02-17 13:00:00,19839
"182",2018-02-17 14:00:00,19952
"183",2018-02-17 15:00:00,20073
"184",2018-02-17 16:00:00,20216
"185",2018-02-17 17:00:00,20464
"186",2018-02-17 18:00:00,20982
"187",2018-02-17 19:00:00,21845
"188",2018-02-17 20:00:00,22562
"189",2018-02-17 21:00:00,22815
"190",2018-02-17 22:00:00,22886
"191",2018-02-17 23:00:00,22940
"192",2018-02-18 00:00:00,23020
"193",2018-02-18 01:00:00,23130
"194",2018-02-18 02:00:00,23262
"195",2018-02-18 03:00:00,23411
"196",2018-02-18 04:00:00,23577
"197",2018-02-18 05:00:00,23758
"198",2018-02-18 06:00:00,23953
"199",2018-02-18 07:00:00,24162
"200",2018-02-18 08:00:00,24383
"201",2018-02-18 09:00:00,24614
"202",2018-02-18 10:00:00,24855
"203",2018-02-18 11:00:00,25103
"204",2018-02-18 12:00:00,25358
"205",2018-02-18 13:00:00,25616
"206",2018-02-18 14:00:00,25879
"207",2018-02-18 15:00:00,26144
"208",2018-02-18 16:00:00,26411
"209",2018-02-18 17:00:00,26679
"210",2018-02-18 18:00:00,26948
"211",2018-02-18 19:00:00,27216
"212",2018-02-18 20:00:00,27482
"213",2018-02-18 21:00:00,27745
"214",2018-02-18 22:00:00,28005
"215",2018-02-18 23:00:00,28260
"216",2018-02-19 00:00:00,28509
"217",2018-02-19 01:00:00,28750
"218",2018-02-19 02:00:00,28983
"219",2018-02-19 03:00:00,29206
"220",2018-02-19 04:00:00,29418
"221",2018-02-19 05:00:00,29618
"222",2018-02-19 06:00:00,29805
"223",2018-02-19 07:00:00,29978
"224",2018-02-19 08:00:00,30144
"225",2018-02-19 09:00:00,30298
"226",2018-02-19 10:00:00,30430
"227",2018-02-19 11:00:00,30544
"228",2018-02-19 12:00:00,30640
"229",2018-02-19 13:00:00,30722
"230",2018-02-19 14:00:00,30788
"231",2018-02-19 15:00:00,30840
"232",2018-02-19 16:00:00,30877
"233",2018-02-19 17:00:00,30902
"234",2018-02-19 18:00:00,30913
"235",2018-02-19 19:00:00,30912
"236",2018-02-19 20:00:00,30900
"237",2018-02-19 21:00:00,30876
"238",2018-02-19 22:00:00,30841
"239",2018-02-19 23:00:00,30795
"240",2018-02-20 00:00:00,30741
"241",2018-02-20 01:00:00,30678
"242",2018-02-20 02:00:00,30606
"243",2018-02-20 03:00:00,30527
"244",2018-02-20 04:00:00,30441
"245",2018-02-20 05:00:00,30348
"246",2018-02-20 06:00:00,30249
"247",2018-02-20 07:00:00,30145
"248",2018-02-20 08:00:00,30036
"249",2018-02-20 09:00:00,29921
"250",2018-02-20 10:00:00,29801
"251",2018-02-20 11:00:00,29676
"252",2018-02-20 12:00:00,29546
"253",2018-02-20 13:00:00,29413
"254",2018-02-20 14:00:00,29278
"255",2018-02-20 15:00:00,29140
"256",2018-02-20 16:00:00,29001
"257",2018-02-20 17:00:00,28861
"258",2018-02-20 18:00:00,28720
"259",2018-02-20 19:00:00,28579
"260",2018-02-20 20:00:00,28436
"261",2018-02-20 21:00:00,28291
"262",2018-02-20 22:00:00,28146
"263",2018-02-20 23:00:00,27999
"264",2018-02-21 00:00:00,27852
"265",2018-02-21 01:00:00,27703
"266",2018-02-21 02:00:00,27554
"267",2018-02-21 03:00:00,27404
"268",2018-02-21 04:00:00,27254
"269",2018-02-21 05:00:00,27103
"270",2018-02-21 06:00:00,26952
"271",2018-02-21 07:00:00,26800
"272",2018-02-21 08:00:00,26648
"273",2018-02-21 09:00:00,26495
"274",2018-02-21 10:00:00,26340
"275",2018-02-21 11:00:00,26184
"276",2018-02-21 12:00:00,26027
"277",2018-02-21 13:00:00,25869
"278",2018-02-21 14:00:00,25712
"279",2018-02-21 15:00:00,25555
"280",2018-02-21 16:00:00,25400
"281",2018-02-21 17:00:00,25246
"282",2018-02-21 18:00:00,25094
"283",2018-02-21 19:00:00,24943
"284",2018-02-21 20:00:00,24794
"285",2018-02-21 21:00:00,24649
"286",2018-02-21 22:00:00,24503
"287",2018-02-21 23:00:00,24355
"288",2018-02-22 00:00:00,24209
"289",2018-02-22 01:00:00,24065
"290",2018-02-22 02:00:00,23923
"291",2018-02-22 03:00:00,23783
"292",2018-02-22 04:00:00,23644
"293",2018-02-22 05:00:00,23507
"294",2018-02-22 06:00:00,23371
"295",2018-02-22 07:00:00,23236
"296",2018-02-22 08:00:00,23102
"297",2018-02-22 09:00:00,22968
"298",2018-02-22 10:00:00,22835
"299",2018-02-22 11:00:00,22701
"300",2018-02-22 12:00:00,22567
"301",2018-02-22 13:00:00,22433
"302",2018-02-22 14:00:00,22300
"303",2018-02-22 15:00:00,22168
"304",2018-02-22 16:00:00,22037
"305",2018-02-22 17:00:00,21909
"306",2018-02-22 18:00:00,21790
"307",2018-02-22 19:00:00,21693
"308",2018-02-22 20:00:00,21588
"309",2018-02-22 21:00:00,21462
"310",2018-02-22 22:00:00,21334
"311",2018-02-22 23:00:00,21208
"312",2018-02-23 00:00:00,21085
"313",2018-02-23 01:00:00,20964
"314",2018-02-23 02:00:00,20845
"315",2018-02-23 03:00:00,20728
"316",2018-02-23 04:00:00,20615
"317",2018-02-23 05:00:00,20515
"318",2018-02-23 06:00:00,20426
"319",2018-02-23 07:00:00,20341
"320",2018-02-23 08:00:00,20282
"321",2018-02-23 09:00:00,20350
"322",2018-02-23 10:00:00,20417
"323",2018-02-23 11:00:00,20336
"324",2018-02-23 12:00:00,20218
"325",2018-02-23 13:00:00,20110
"326",2018-02-23 14:00:00,20010
"327",2018-02-23 15:00:00,19920
"328",2018-02-23 16:00:00,19836
"329",2018-02-23 17:00:00,19760
"330",2018-02-23 18:00:00,19689
"331",2018-02-23 19:00:00,19625
"332",2018-02-23 20:00:00,19566
"333",2018-02-23 21:00:00,19512
"334",2018-02-23 22:00:00,19461
"335",2018-02-23 23:00:00,19414
"336",2018-02-24 00:00:00,19370
"337",2018-02-24 01:00:00,19330
"338",2018-02-24 02:00:00,19291
"339",2018-02-24 03:00:00,19255
"340",2018-02-24 04:00:00,19220
"341",2018-02-24 05:00:00,19187
"342",2018-02-24 06:00:00,19154
"343",2018-02-24 07:00:00,19122
"344",2018-02-24 08:00:00,19090
"345",2018-02-24 09:00:00,19057
"346",2018-02-24 10:00:00,19024
"347",2018-02-24 11:00:00,18991
"348",2018-02-24 12:00:00,18961
"349",2018-02-24 13:00:00,18930
"350",2018-02-24 14:00:00,18899
"351",2018-02-24 15:00:00,18873
"352",2018-02-24 16:00:00,18877
"353",2018-02-24 17:00:00,18959
"354",2018-02-24 18:00:00,19040
"355",2018-02-24 19:00:00,19059
"356",2018-02-24 20:00:00,19049
"357",2018-02-24 21:00:00,19013
"358",2018-02-24 22:00:00,18976
"359",2018-02-24 23:00:00,18951
"360",2018-02-25 00:00:00,18979
"361",2018-02-25 01:00:00,19226
"362",2018-02-25 02:00:00,19493
"363",2018-02-25 03:00:00,19545
"364",2018-02-25 04:00:00,19507
"365",2018-02-25 05:00:00,19444
"366",2018-02-25 06:00:00,19393
"367",2018-02-25 07:00:00,19351
"368",2018-02-25 08:00:00,19319
"369",2018-02-25 09:00:00,19382
"370",2018-02-25 10:00:00,19528
"371",2018-02-25 11:00:00,19624
"372",2018-02-25 12:00:00,19651
"373",2018-02-25 13:00:00,19659
"374",2018-02-25 14:00:00,19664
"375",2018-02-25 15:00:00,19658
"376",2018-02-25 16:00:00,19655
"377",2018-02-25 17:00:00,19663
"378",2018-02-25 18:00:00,19682
"379",2018-02-25 19:00:00,19713
"380",2018-02-25 20:00:00,19753
"381",2018-02-25 21:00:00,19800
"382",2018-02-25 22:00:00,19855
"383",2018-02-25 23:00:00,19916
"384",2018-02-26 00:00:00,19983
"385",2018-02-26 01:00:00,20055
"386",2018-02-26 02:00:00,20133
"387",2018-02-26 03:00:00,20214
"388",2018-02-26 04:00:00,20299
"389",2018-02-26 05:00:00,20388
"390",2018-02-26 06:00:00,20481
"391",2018-02-26 07:00:00,20576
"392",2018-02-26 08:00:00,20673
"393",2018-02-26 09:00:00,20773
"394",2018-02-26 10:00:00,20873
"395",2018-02-26 11:00:00,20975
"396",2018-02-26 12:00:00,21079
"397",2018-02-26 13:00:00,21185
"398",2018-02-26 14:00:00,21292
"399",2018-02-26 15:00:00,21402
"400",2018-02-26 16:00:00,21513
"401",2018-02-26 17:00:00,21626
"402",2018-02-26 18:00:00,21742
"403",2018-02-26 19:00:00,21864
"404",2018-02-26 20:00:00,21986
"405",2018-02-26 21:00:00,22103
"406",2018-02-26 22:00:00,22220
"407",2018-02-26 23:00:00,22337
"408",2018-02-27 00:00:00,22453
"409",2018-02-27 01:00:00,22569
"410",2018-02-27 02:00:00,22685
"411",2018-02-27 03:00:00,22799
"412",2018-02-27 04:00:00,22912
"413",2018-02-27 05:00:00,23025
"414",2018-02-27 06:00:00,23135
"415",2018-02-27 07:00:00,23245
"416",2018-02-27 08:00:00,23352
"417",2018-02-27 09:00:00,23458
"418",2018-02-27 10:00:00,23561
"419",2018-02-27 11:00:00,23661
"420",2018-02-27 12:00:00,23759
"421",2018-02-27 13:00:00,23854
"422",2018-02-27 14:00:00,23946
"423",2018-02-27 15:00:00,24036
"424",2018-02-27 16:00:00,24123
"425",2018-02-27 17:00:00,24207
"426",2018-02-27 18:00:00,24287
"427",2018-02-27 19:00:00,24364
"428",2018-02-27 20:00:00,24436
"429",2018-02-27 21:00:00,24504
"430",2018-02-27 22:00:00,24565
"431",2018-02-27 23:00:00,24622
"432",2018-02-28 00:00:00,24673
"433",2018-02-28 01:00:00,24717
"434",2018-02-28 02:00:00,24756
"435",2018-02-28 03:00:00,24789
"436",2018-02-28 04:00:00,24815
"437",2018-02-28 05:00:00,24835
"438",2018-02-28 06:00:00,24849
"439",2018-02-28 07:00:00,24856
"440",2018-02-28 08:00:00,24857
"441",2018-02-28 09:00:00,24852
"442",2018-02-28 10:00:00,24841
"443",2018-02-28 11:00:00,24823
"444",2018-02-28 12:00:00,24799
"445",2018-02-28 13:00:00,24769
"446",2018-02-28 14:00:00,24734
"447",2018-02-28 15:00:00,24693
"448",2018-02-28 16:00:00,24647
"449",2018-02-28 17:00:00,24596
"450",2018-02-28 18:00:00,24540
"451",2018-02-28 19:00:00,24479
"452",2018-02-28 20:00:00,24414
"453",2018-02-28 21:00:00,24344
"454",2018-02-28 22:00:00,24271
"455",2018-02-28 23:00:00,24195
"456",2018-03-01 00:00:00,24114
"457",2018-03-01 01:00:00,24046
"458",2018-03-01 02:00:00,24012
"459",2018-03-01 03:00:00,23997
"460",2018-03-01 04:00:00,23969
"461",2018-03-01 05:00:00,23922
"462",2018-03-01 06:00:00,23859
"463",2018-03-01 07:00:00,23785
"464",2018-03-01 08:00:00,23700
"465",2018-03-01 09:00:00,23608
"466",2018-03-01 10:00:00,23508
"467",2018-03-01 11:00:00,23405
"468",2018-03-01 12:00:00,23299
"469",2018-03-01 13:00:00,23190
"470",2018-03-01 14:00:00,23076
"471",2018-03-01 15:00:00,22962
"472",2018-03-01 16:00:00,22846
"473",2018-03-01 17:00:00,22730
"474",2018-03-01 18:00:00,22613
"475",2018-03-01 19:00:00,22497
"476",2018-03-01 20:00:00,22381
"477",2018-03-01 21:00:00,22272
"478",2018-03-01 22:00:00,22178
"479",2018-03-01 23:00:00,22102
"480",2018-03-02 00:00:00,22009
"481",2018-03-02 01:00:00,21906
"482",2018-03-02 02:00:00,21824
"483",2018-03-02 03:00:00,21740
"484",2018-03-02 04:00:00,21648
"485",2018-03-02 05:00:00,21558
"486",2018-03-02 06:00:00,21474
"487",2018-03-02 07:00:00,21398
"488",2018-03-02 08:00:00,21330
"489",2018-03-02 09:00:00,21271
"490",2018-03-02 10:00:00,21217
"491",2018-03-02 11:00:00,21166
"492",2018-03-02 12:00:00,21121
"493",2018-03-02 13:00:00,21080
"494",2018-03-02 14:00:00,21046
"495",2018-03-02 15:00:00,21016
"496",2018-03-02 16:00:00,20992
"497",2018-03-02 17:00:00,20973
"498",2018-03-02 18:00:00,20958
"499",2018-03-02 19:00:00,20947
"500",2018-03-02 20:00:00,20939
"501",2018-03-02 21:00:00,20934
"502",2018-03-02 22:00:00,20930
"503",2018-03-02 23:00:00,20927
"504",2018-03-03 00:00:00,20925
"505",2018-03-03 01:00:00,20924
"506",2018-03-03 02:00:00,20923
"507",2018-03-03 03:00:00,20922
"508",2018-03-03 04:00:00,20920
"509",2018-03-03 05:00:00,20918
"510",2018-03-03 06:00:00,20916
"511",2018-03-03 07:00:00,20912
"512",2018-03-03 08:00:00,20907
"513",2018-03-03 09:00:00,20901
"514",2018-03-03 10:00:00,20894
"515",2018-03-03 11:00:00,20885
"516",2018-03-03 12:00:00,20875
"517",2018-03-03 13:00:00,20863
"518",2018-03-03 14:00:00,20851
"519",2018-03-03 15:00:00,20838
"520",2018-03-03 16:00:00,20825
"521",2018-03-03 17:00:00,20812
"522",2018-03-03 18:00:00,20798
"523",2018-03-03 19:00:00,20784
"524",2018-03-03 20:00:00,20769
"525",2018-03-03 21:00:00,20754
"526",2018-03-03 22:00:00,20738
"527",2018-03-03 23:00:00,20722
"528",2018-03-04 00:00:00,20706
"529",2018-03-04 01:00:00,20689
"530",2018-03-04 02:00:00,20673
"531",2018-03-04 03:00:00,20656
"532",2018-03-04 04:00:00,20639
"533",2018-03-04 05:00:00,20622
"534",2018-03-04 06:00:00,20605
"535",2018-03-04 07:00:00,20588
"536",2018-03-04 08:00:00,20571
"537",2018-03-04 09:00:00,20553
"538",2018-03-04 10:00:00,20535
"539",2018-03-04 11:00:00,20517
"540",2018-03-04 12:00:00,20495
"541",2018-03-04 13:00:00,20472
"542",2018-03-04 14:00:00,20449
"543",2018-03-04 15:00:00,20426
"544",2018-03-04 16:00:00,20402
"545",2018-03-04 17:00:00,20377
"546",2018-03-04 18:00:00,20351
